<Header>
User name: Carl
Location: probe cabin
# of Location: 1
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2.05 (15-06-2020)
Unit: dM [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: F2583
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um
12.06.2025 13:22:22	0,33	0,23	0,23	0,27	0,18	0,24	0,07	0,12	0,19	0,00	0,13	0,63	0,34	1,12	0,00	1,51
12.06.2025 13:22:23	0,30	0,23	0,25	0,25	0,15	0,08	0,12	0,06	0,05	0,00	0,13	0,42	0,34	0,00	0,92	0,00
12.06.2025 13:22:24	0,30	0,18	0,22	0,27	0,18	0,10	0,09	0,03	0,05	0,16	0,13	0,42	0,34	0,56	0,00	4,52
12.06.2025 13:22:25	0,29	0,21	0,27	0,23	0,17	0,12	0,14	0,06	0,05	0,23	0,64	0,63	0,34	0,00	0,00	6,03
12.06.2025 13:22:26	0,33	0,21	0,24	0,22	0,20	0,09	0,05	0,00	0,14	0,16	0,26	0,00	1,03	0,56	0,00	3,02
12.06.2025 13:22:27	0,28	0,25	0,25	0,18	0,15	0,10	0,11	0,03	0,05	0,00	0,26	0,63	0,69	0,00	0,92	3,02
12.06.2025 13:22:28	0,29	0,23	0,22	0,26	0,16	0,12	0,12	0,09	0,05	0,08	0,00	0,84	0,00	0,00	0,00	0,00
12.06.2025 13:22:29	0,32	0,26	0,21	0,21	0,17	0,13	0,16	0,06	0,05	0,31	0,00	0,63	0,34	1,12	1,84	0,00
12.06.2025 13:22:30	0,30	0,23	0,24	0,23	0,20	0,12	0,04	0,06	0,10	0,00	0,26	0,42	1,37	1,12	0,00	1,51
12.06.2025 13:22:31	0,31	0,23	0,24	0,26	0,10	0,10	0,02	0,03	0,00	0,00	0,13	0,63	0,00	0,00	0,92	1,51
12.06.2025 13:22:32	0,31	0,24	0,20	0,23	0,10	0,16	0,14	0,12	0,14	0,08	0,38	0,63	1,03	0,00	0,92	1,51
12.06.2025 13:22:33	0,32	0,21	0,26	0,28	0,23	0,10	0,05	0,06	0,05	0,00	0,00	0,00	0,00	0,00	0,00	3,02
12.06.2025 13:22:34	0,32	0,24	0,20	0,20	0,13	0,13	0,04	0,12	0,14	0,08	0,38	0,42	0,34	1,12	0,92	3,02
12.06.2025 13:22:35	0,32	0,21	0,23	0,21	0,14	0,12	0,09	0,12	0,10	0,16	0,00	0,84	1,03	0,56	2,76	1,51
12.06.2025 13:22:36	0,33	0,24	0,21	0,23	0,11	0,11	0,05	0,03	0,00	0,16	0,26	0,00	0,34	0,00	0,92	3,02
12.06.2025 13:22:37	0,30	0,21	0,22	0,25	0,19	0,11	0,07	0,12	0,00	0,08	0,00	0,00	0,69	0,00	0,00	4,52
12.06.2025 13:22:38	0,29	0,22	0,25	0,23	0,17	0,12	0,12	0,00	0,05	0,00	0,13	0,00	0,00	0,56	0,00	1,51
12.06.2025 13:22:39	0,30	0,18	0,23	0,22	0,19	0,09	0,02	0,03	0,00	0,08	0,38	0,42	1,03	0,56	0,00	0,00
12.06.2025 13:22:40	0,31	0,23	0,24	0,20	0,14	0,12	0,11	0,09	0,05	0,08	0,13	0,21	0,34	0,56	0,92	0,00
12.06.2025 13:22:41	0,29	0,24	0,23	0,28	0,16	0,17	0,09	0,03	0,05	0,00	0,00	0,21	0,00	1,12	1,84	0,00
12.06.2025 13:22:42	0,32	0,26	0,24	0,25	0,17	0,14	0,11	0,06	0,00	0,00	0,51	0,42	1,03	0,00	0,00	3,02
12.06.2025 13:22:43	0,30	0,20	0,25	0,22	0,17	0,11	0,14	0,15	0,29	0,16	0,00	0,84	0,00	1,12	0,92	4,52
12.06.2025 13:22:44	0,33	0,22	0,22	0,25	0,15	0,10	0,09	0,09	0,05	0,00	0,26	0,42	0,34	0,56	0,92	0,00
