<Header>
User name: Carl
Location: probe cabin
# of Location: 1
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2.05 (15-06-2020)
Unit: counts/liter (differential)
C-factor: 1,00
location factor: 1,00
Comment: F2583
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um
12.06.2025 13:22:18	17950,0	8020,0	5010,0	2950,0	1250,0	550,0	300,0	50,0	50,0	0,0	0,0	50,0	50,0	0,0	100,0	250,0
12.06.2025 13:22:19	17540,0	6970,0	5010,0	2950,0	1050,0	450,0	350,0	200,0	0,0	200,0	150,0	200,0	0,0	50,0	0,0	100,0
12.06.2025 13:22:20	17280,0	6770,0	4260,0	2800,0	1000,0	900,0	100,0	0,0	100,0	0,0	50,0	50,0	0,0	0,0	100,0	100,0
12.06.2025 13:22:21	16190,0	8020,0	4360,0	2750,0	1550,0	750,0	200,0	50,0	0,0	0,0	150,0	50,0	150,0	50,0	50,0	0,0
12.06.2025 13:22:22	17850,0	7780,0	4610,0	3300,0	1350,0	1100,0	200,0	200,0	200,0	0,0	50,0	150,0	50,0	100,0	0,0	50,0
12.06.2025 13:22:23	16130,0	7570,0	4960,0	3050,0	1100,0	350,0	350,0	100,0	50,0	0,0	50,0	100,0	50,0	0,0	50,0	0,0
12.06.2025 13:22:24	16580,0	6120,0	4360,0	3400,0	1350,0	450,0	250,0	50,0	50,0	100,0	50,0	100,0	50,0	50,0	0,0	150,0
12.06.2025 13:22:25	15990,0	7120,0	5510,0	2900,0	1250,0	550,0	400,0	100,0	50,0	150,0	250,0	150,0	50,0	0,0	0,0	200,0
12.06.2025 13:22:26	18040,0	6870,0	4860,0	2750,0	1500,0	400,0	150,0	0,0	150,0	100,0	100,0	0,0	150,0	50,0	0,0	100,0
12.06.2025 13:22:27	15480,0	8120,0	5110,0	2200,0	1100,0	450,0	300,0	50,0	50,0	0,0	100,0	150,0	100,0	0,0	50,0	100,0
12.06.2025 13:22:28	15630,0	7770,0	4460,0	3200,0	1200,0	550,0	350,0	150,0	50,0	50,0	0,0	200,0	0,0	0,0	0,0	0,0
12.06.2025 13:22:29	17550,0	8670,0	4210,0	2600,0	1300,0	600,0	450,0	100,0	50,0	200,0	0,0	150,0	50,0	100,0	100,0	0,0
12.06.2025 13:22:30	16490,0	7770,0	4810,0	2800,0	1500,0	550,0	100,0	100,0	100,0	0,0	100,0	100,0	200,0	100,0	0,0	50,0
12.06.2025 13:22:31	16940,0	7620,0	4760,0	3250,0	750,0	450,0	50,0	50,0	0,0	0,0	50,0	150,0	0,0	0,0	50,0	50,0
12.06.2025 13:22:32	16740,0	7920,0	3960,0	2900,0	750,0	750,0	400,0	200,0	150,0	50,0	150,0	150,0	150,0	0,0	50,0	50,0
12.06.2025 13:22:33	17250,0	7070,0	5260,0	3450,0	1700,0	450,0	150,0	100,0	50,0	0,0	0,0	0,0	0,0	0,0	0,0	100,0
12.06.2025 13:22:34	17540,0	7970,0	4010,0	2500,0	950,0	600,0	100,0	200,0	150,0	50,0	150,0	100,0	50,0	100,0	50,0	100,0
12.06.2025 13:22:35	17240,0	6870,0	4710,0	2600,0	1050,0	550,0	250,0	200,0	100,0	100,0	0,0	200,0	150,0	50,0	150,0	50,0
12.06.2025 13:22:36	18190,0	7820,0	4260,0	2800,0	850,0	500,0	150,0	50,0	0,0	100,0	100,0	0,0	50,0	0,0	50,0	100,0
12.06.2025 13:22:37	16380,0	7070,0	4510,0	3050,0	1400,0	500,0	200,0	200,0	0,0	50,0	0,0	0,0	100,0	0,0	0,0	150,0
12.06.2025 13:22:38	15630,0	7370,0	5010,0	2800,0	1250,0	550,0	350,0	0,0	50,0	0,0	50,0	0,0	0,0	50,0	0,0	50,0
12.06.2025 13:22:39	16420,0	6070,0	4660,0	2750,0	1400,0	400,0	50,0	50,0	0,0	50,0	150,0	100,0	150,0	50,0	0,0	0,0
